Title,country,Price,SuccessRate,skill_1,skill_2,skill_3,skill_4,skill_5,skill_6,rate
native senior ios application developer,Russia,4500,100,iOS Development,Android App Development,Swift,Java,Mobile App Development,Mobile Programming,70000
graphic web branding logo design,Ukraine,3000,93,Graphic Design,Web Design,Illustration,Infographics,Adobe Photoshop,Adobe Illustrator,1000000
technical translator,Cameroon,2500,100,Academic Translation,Proofreading,Virtual Assistant,Translation,Translation French English,Translation German French,40000
experience dev op specialist system administrator,Russia,3300,100,DevOps,Linux,Apache,Amazon ECS,AWS CloudFront,Amazon S3,9000000
17 year solution analyst full st ##a ck web dev el ##o per,Portugal,4500,100,PHP,WordPress,Amazon Web Services,Project Management,Solution Architecture,JavaScript,100000
senior php developer,Ukraine,3600,100,PHP,Laravel,Yii,CakePHP,JavaScript,MySQL Programming,40000
hire dedicated software developer web mobile back end,Ukraine,4000,100,Ionic Framework,Android App Development,Swift,Ruby on Rails,PHP,Objective-C,100000
web mobile app development expert 10 y ##r industry ex p,India,2300,100,Android App Development,iOS Development,eCommerce,React Native,Ionic,Swift,700000
woo com er ce shop if ##y mage nt ##o 1 mage nt ##o 2 ether eu ##m block cha ##i n,Pakistan,3000,100,Shopify,Shopify Templates,Magento,Magento 2,WordPress,WordPress Plugin,500000
lead gen contact list email search data cleansing,Pakistan,850,100,Data Mining,Data Processing,Lead Generation,Internet Research,Data Entry,Data Cleansing,1000000
ui u x game designer,Serbia,2500,100,User Experience Design,User Interface Design,Game Design,Web Design,JavaScript,JavaScript,100000
real estate virtual assistant tel em ##a r ##ke ter,Philippines,1000,97,Appointment Setting,Telemarketing,Calendar Management,Customer Support,JavaScript,JavaScript,100000
java script types cr ##ip ##t developer angular react react native,Belarus,4500,100,React,User Experience Design,Node.js,JavaScript,HTML5,Redux,50000
experience graphic designer,Pakistan,1000,100,Logo Design,Retouching,Banner Ad Design,Adobe Photoshop,CorelDRAW,Brochure Design,100000
chief technical officer,India,7000,100,C,Embedded Linux,Driver Development,RTOS,Android,Software Debugging,20000
technical support customer service social medium zen des k,Philippines,1500,98,Customer Service,Technical Support,Technical Writing,Technical Analysis,Call Support,Helpdesk,100000
ui u x design expert motion design animation 3d design,Russia,4000,100,Adobe After Effects,Motion Design,Autodesk 3D Studio Max,3D Visualization,Adobe XD,Sketch,100000
expert web mobile developer 10 year experience,India,1500,100,iOS Development,Android App Development,Android,Android SDK,iPhone App Development,iPhone UI Design,300000
customer chat support expert,Philippines,500,97,Customer Support,Internet Marketing,Live Chat Operator,Email Marketing,JavaScript,JavaScript,7000
mage nt ##o guru word press php react j ##s angular lara ve ##l node j ##s,India,3000,94,PHP,Magento,Magento 2,WordPress,Laravel,AngularJS,4000000
python dj ang ##o fl ask java script angular types cr ##ip ##t project manager,Ukraine,3000,100,Project Management,Python,Django,TypeScript,JavaScript,Flask,700000
18 year experience online lead genera ton,United States,12500,100,Lead Generation Strategy,PPC Marketing,Facebook Advertising,Instagram Ad Campaign,SEO Audit,Tracking & Analytics,10000
app ios android native hybrid website development design,India,1500,99,WordPress,PHP,Mean JS,Android App Development,iOS Development,Ruby on Rails,1000000
sale manager,Belarus,2500,100,Customer Service,Communications,N/A,N/A,JavaScript,JavaScript,400
u x ui designer,Ukraine,4000,86,Wireframes,Mobile App Design,User Flows,Website,Mockup,UX Writing,10000
project manager pm o,Ukraine,3500,96,Proposal Writing,News Writing Style,Business Proposal Writing,Translation English Russian,Translation English Ukrainian,JavaScript,9000000
ui u x web design user love product,Canada,10000,88,User Interface Design,User Experience Design,Web Design,Mobile UI Design,WordPress,Custom CMS,700000
marketing consultant start up established business writer,United States,11500,100,Internet Marketing,Social Media Marketing,B2B Marketing,Creative Writing,Business Strategy,Email Marketing,100000
dev ops eng en ##e er,Russia,4000,100,Cloud Computing,Desktop Support,Web Hosting,Virtualization,Linux System Administration,Network Administration,40000
angular j ##s word press lara ve ##l ionic shop if ##y mage nt ##o 1 2 expert,India,1100,99,PHP,WordPress,AngularJS,HTML5,Magento,Twitter Bootstrap,200000
stack developer lara ve ##l yi i react vu e,Ukraine,2500,94,PHP,Yii2,MySQL Programming,Laravel,JavaScript,jQuery,300000
dev op aw s linux system administrator,Ukraine,4000,100,Linux System Administration,Windows Administration,Network Administration,Database Administration,Technical Support,Amazon Web Services,1000000
amazon shop if ##y wal mart big com mer ce e bay website development,Pakistan,2500,94,Product Management,Shopify,eBook,BigCommerce,Ecommerce Platform Development,Website Development,400000
3d animator 2d animator medical animator product animator,India,1875,94,Medical,3D Animation,Medical Animation,2D Animation,Product Rendering,Biomedical Visualization,100000
support specialist power bi visual isa ##tion data analyst,Bosnia and Herzegovina,1500,100,Help Desk Technology International ServicePRO,Technical Support,Customer Support,Email Technical Support,Customer Service,Microsoft Power BI,100000
graphic designer illustrator specialized ui u x brand design,India,1500,96,Adobe Illustrator,Adobe Photoshop,Wireframing,Sketch,Figma,Motion Graphics,60000
lara ve ##l code ign ito ##r t wil io pl ivo web development expert,Pakistan,1500,98,PHP,CodeIgniter,Twilio API,Laravel,Plivo,WordPress,300000
software engineer java,United States,5200,100,Java,Spring Framework,Hibernate,MongoDB,Ext JS,Google Cloud Platform,40000
stack php j s developer lara ve ##l vu e,Ukraine,3333,89,Laravel,Vue.js,Nuxt.js,Scrum,MySQL,PostgreSQL,30000
shop if ##y expert front end developer shop if ##y designer,Ukraine,2800,93,CSS,JavaScript,HTML,jQuery,SCSS,Bootstrap,60000
9 year experience web technology multimedia,India,1000,100,WordPress,HTML,CSS,Adobe Photoshop,Adobe Dreamweaver,Animation,40000
social medium manager social medium market er community manager,Greece,2500,100,Social Media Marketing,Internet Marketing,Social Media Management,Facebook Marketing,Twitter Marketing,Google+,700000
marketing st rate gi ##st growth hack,Brazil,7000,100,Digital Marketing,Landing Page,Sales Funnel Copywriting,Agile Project Management,Entrepreneurship,Cross Functional Team Leadership,4000
e bay amazon mw s sp api integration drops hip pe automation,India,2000,100,eBay API,Amazon Web Services,ASP.NET MVC,C#,AngularJS,JavaScript,40000
product project manager solution software architect,United States,16500,100,Enterprise Software,Enterprise Resource Planning (ERP),Solution Architecture,Cloud Computing,Cloud Security Framework,Product Management,20000
technical support customer service representative,Philippines,1000,100,Email Technical Support,Live Chat Operator,Data Entry,Microsoft Word,Microsoft Excel,Customer Service,40000
cr m z oh o creator z oh o cr m er p solution,India,1200,91,PHP,Zoho CRM,Zoho Creator,Zoho Books,Zoho Platform,Zoho Analytics,1000000
motion graphic designer creative designer,Pakistan,3000,93,3D Design,Video Production,Video Editing,Adobe After Effects,Adobe Photoshop,Photo Editing,20000
sf dc ce rt ##i f ##y administrator consultant architect developer,India,4000,99,Salesforce App Development,Salesforce CRM,Salesforce Lightning,APEX,Salesforce Sales Cloud,Salesforce Service Cloud,1000000
video editor motion graphic designer hd 4 k 8 k,Morocco,1500,77,Motion Graphics,Animation,Video Editing,Video Production,Adobe After Effects,Adobe Premiere Pro,10000
visual designer ui u x designer illustrator,Russia,3500,100,Web Design,Graphic Design,Logo Design,Illustration,Print Design,Social Media Imagery,9000000
google ad facebook ad shopping ad linked in ad seo sm o,India,1800,99,Link Building,SEO,Off-page Optimization,On-Page Optimization,SEO Backlinking,SMO,1000000
sa as marketplace u x ui design development web mobile app,United States,8000,99,iOS Development,Mobile App Design,UX/UI,Website Development,Mobile App Development,Android App Development,200000
web app development expert,India,1000,89,PHP,MySQL,JavaScript,jQuery,HTML,CSS,6000
end developer angular 2 types cr ##ip ##t es 6,Ukraine,1900,93,Git,MongoDB,Express,Node.js,JavaScript,CSS3,2000000
up work stack developer,Ukraine,4000,100,JavaScript,Node.js,C#,PHP,HIPAA/HITECH,React,900000
u x ui designer,Ukraine,3000,85,Web Design,Mobile App Design,Logo Design,Print Design,Corporate Brand Identity,Responsive Web Design,10000
seo service link building local seo expert,Australia,3500,98,SEO,Search Engine Marketing,Google Analytics,Google AdSense,Web Design,Website Development,200000
experience machine learning stack developer,Australia,3000,100,HTML5,CSS3,JavaScript,D3.js,Java,React,40000
software development,United States,4500,98,iPhone App Development,PHP,Java,AJAX,ASP.NET,Google Map Maker,300000
call i ##graphy lettering designer,Ukraine,2500,97,Content Editing,Lettering,Vector Tracing,Vector Art,Adobe Illustrator,Calligraphy,1000
u x ui designer developer,United States,6000,100,User Experience Design,User Interface Design,User Research,Usability Testing,Frontend Development,PHP,100000
end developer angular 2 ev charging fin tech,Ukraine,2500,98,Git,Ionic Framework,RESTful API,Angular Materials,Angular,TypeScript,1000000
team lead quality assurance specialist,Philippines,600,99,Technical Support,Quality Assurance,Customer Service,Customer Retention,Chat Support,Email Support,100000
8 year experience stack developer,United States,4000,84,Responsive Web Design,WordPress e-Commerce,Scripting,Plugins for Wordpress,Shopify,CodeIgniter,400
creative executive,Philippines,3000,100,WordPress,Twitter Bootstrap,CSS3,HTML5,Logo Design,WooCommerce,40000
stack web io t developer,Russia,5000,100,Drupal,PHP,WordPress,HTML5,HTML,Laravel,400000
sr web end designer,Pakistan,3200,92,HTML5,CSS3,Responsive Web Design,Bootstrap,PSD to HTML,PSD to Wordpress,900000
photo edit video editing pan or ##a mic stitch 360 virtual tour,Egypt,1500,100,Adobe Photoshop,Panoramic Stitching,Adobe Photoshop Lightroom,Photo Editing,Retouching,Photo Manipulation,100000
senior art director modern creative graphic design expert,Poland,6000,100,Graphic Design,Brand Marketing,Corporate Brand Identity,Packaging Design,Label and Package Design,Logo Design,100000
sr php code ign it ##er lara ve ##l mv c web developer,India,2000,97,MVC Framework,Laravel,PHP,CakePHP,MySQL,Ecommerce Platform Development,700000
stack developer lara ve ##l vu e,Ukraine,2500,94,PHP,Yii2,Laravel,HTML5,CSS3,JavaScript,300000
ce rt ##i f ##y shop if ##y shop if ##y plus expert,Canada,8000,96,Responsive Web Design,Mobile App Development,User Experience Design,Shopify,Shopify Plus,Shopify Templates,100000
ui u x designer web mobile,Ukraine,2500,84,Adobe Photoshop,Adobe Illustrator,InVision,Axure RP,Sketch,Design Thinking,1000
law firm seo legal website design search engine optimization expert,United States,2900,100,SEO Audit,SEO,SEO Keyword Research,Search Engine Marketing,Web Design,Digital Marketing,100000
digital marketing,Ukraine,3000,100,Copywriting,Editing,Translation,Article Rewriting,SEO,JavaScript,20
business developer u x research ui web mobile development cr m,Ukraine,4000,100,Project Management,Price/Quote Negotiation,Product Management,Web Design,Mobile App Development,UX Research,70000
senior a q ##a q a tech lead,Ukraine,3500,94,Apache JMeter,Selenium WebDriver,Rest Assured,Jenkins,Git,TestNG,300000
expert vet video producer animator superior quality,Ukraine,5900,100,Video Production,Animation,Video Editing,Adobe After Effects,Final Cut Pro,2D Animation,100000
photographer re to ##u cher photos hop expert 11 year experience,Ukraine,3875,100,Model Photography,Photo Editing,Fashion Photography,Photo Manipulation,Adobe Photoshop,Retouching,5000
ct o go lang react j ##s react native php stack developer,Ukraine,8000,100,Golang,MongoDB,PHP,Node.js,MySQL Programming,Elasticsearch,60000
stack developer html 5 cs s 3 word press react vu e web flow,Ukraine,2500,93,CSS3,HTML5,PSD to HTML,jQuery,JavaScript,WordPress,60000
as p net architect expert stack developer,Belarus,4500,100,C#,ASP.NET,.NET Framework,SQL,HTML,Telerik,100000
customer service business development officer quality analyst,Philippines,1000,100,Business Development,Social Customer Service,Customer Service,Analytics,Sales,Technical Support,6000
high end creative photo re to ##u ching,United Kingdom,7000,100,Adobe Photoshop,N/A,N/A,N/A,JavaScript,JavaScript,100000
ad banner animation expert,United States,4000,99,HTML5,Facebook Marketing,Mobile Advertising,Landing Page,Google Ads,WordPress,300000
project manager,Russia,5000,94,Agile Project Management,Information Security,Cryptography,Mathematics,Blockchain,JavaScript,50000
creative solutions,Pakistan,1667,100,Adobe Illustrator,Adobe Photoshop,Business Card Design,Logo Design,Flyer Design,Logo,30000
graphic designer,Egypt,1500,100,GIMP,Adobe Photoshop,Inkscape,Adobe Illustrator,Print Advertising,Digital Illustration,1000
senior u x ui design,Ukraine,3000,100,UX/UI,Web Design,Logo Design,Illustration,UI/UX Prototyping,Mobile App Design,2000000
stack web developer,Belarus,2000,100,C#,ASP.NET MVC,ASP.NET Core,SQL,JavaScript,Docker,600
php solution architect developer,Ukraine,4000,100,PHP,Node.js,Ext JS,JavaScript,MySQL,MongoDB,100000
gp ap hi ##c design brand identity,Ukraine,1400,100,Logo Design,Adobe Illustrator,Adobe Photoshop,Brand Identity,Logo,Brand Identity & Guidelines,50
administration customer service cold calling sales data entry,Philippines,1000,100,Customer Service,Cold Calling,Sales,Email Support,Chat Support,Virtual Assistant,50000
expert ui u x designer,Ukraine,3500,96,Responsive Web Design,User Experience Design,User Interface Design,Mobile UI Design,WordPress,Node.js,9000000
ui u x designer,Ukraine,4500,97,UX/UI,UI/UX Prototyping,Mobile UI Design,UI Graphics,UX Design,UX Research,100000
web mobile u x ui designer,Ukraine,3000,100,User Experience Design,User Interface Design,Website Prototyping,Website Wireframing,Graphic Design,Logo Design,200000
ui u x design web mobile design,Montenegro,4000,99,Web Design,User Interface Design,Mobile UI Design,Webflow,UX/UI,Figma,90000
local seo page off page google business citation,Philippines,1000,98,Link Building,Social Bookmarking,SEO,On-Page Optimization,Blog Commenting,Blog Writing,20000
ui u x designer expert web flow designer developer,Pakistan,2200,93,Web Design,Graphic Design,Mobile UI Design,Banner Ad Design,iPhone UI Design,PSD to Wordpress,100000
web mobile developer angular 2 ng r x r x j ##s node j s ionic,Ukraine,1700,91,Angular 2,Ionic Framework,NativeScript,RxJS,Angular Materials,TypeScript,6000000
expert web developer api lara ve ##l vu e cake ph p marketplace expert,India,1800,100,CakePHP,HTML5,CSS3,PHP,jQuery,Laravel,1000000
ce rt ##i f ##y nets ui ##t e techno functional consultant,India,4500,100,NetSuite Development,NetSuite Administration,SuiteScript,JavaScript,HTML5,CSS3,100000
node j ##s lara ve ##l react j ##s word press,Pakistan,2250,100,Node.js,REST,Frontend Development,Angular 5,Amazon,Laravel,2000000
personal japanese virtual assistant,Philippines,1500,68,Virtual Assistant,Translation English Japanese,Translation Tagalog English,eBay Listing/Writing,Amazon Translate,JavaScript,100000
stack development lara ve ##l php react angular node,India,2500,93,AngularJS,RETS,Node.js,Laravel,Real Estate IDX,React Native,1000000
front end java script angular vu e j s developer,Ukraine,3000,100,HTML5,CSS3,Sass,Responsive Web Design,Angular Materials,Angular 6,2000000
c c visual basic del phi expert,Ukraine,5500,99,C#,C++,C,Delphi,XML,ASP.NET,400000
expert seo consultant healthcare marketing,United States,7500,100,Website Development,Web Design,SEO,Website Redesign,On-Page SEO,Technical SEO,100000
expert content writer high quality work time delivery,Australia,2000,81,Creative Writing,SEO Writing,Press Release Writing,Proofreading,Article Writing,Blog Writing,100000
digital market er focus roi,India,800,92,SEO,Search Engine Marketing,On-Page SEO,Off-Page SEO,SEO Backlinking,SEO Keyword Research,200000
php developer word press developer,Pakistan,3000,100,WordPress,OpenCart,CodeIgniter,PrestaShop,X-Cart,CSS,100000
cross platform mobile app developer dart flutter android,Ukraine,2500,98,Flutter,Dart,Android,iOS Development,Mobile App Development,iPhone App Development,1000000
stack mobile developer,Ukraine,3500,96,ASP.NET,Xamarin,C#,ASP.NET Core,JavaScript,HTML,300000
shop if ##y expert,United States,25000,100,Ecommerce Platform Development,Project Management,Project Management Professional,Shopify,Graphic Design,Mobile UI Design,30000
10 k hr s seo back link local seo gm b marketing expert,India,875,100,Social Media Marketing,SEO Keyword Research,SEO,Google Ads,Content Writing,Facebook Marketing,7000
whale shark team lead web designer,Serbia,2500,99,CSS,Mobile Programming,HTML5,jQuery,VirtueMart,WordPress,1000000
web app,India,1667,100,Adobe Photoshop,ASP.NET,CSS,Drupal,HTML5,Illustration,300000
sm m expert se m seo word press writer eco mm ##er ce guru,Philippines,778,93,SEO,Social Media Marketing,Ecommerce Platform Development,Shopify,Email Marketing,Article Writing,2000000
innovative st rate gi ##st social medium branding facebook ad,United States,7500,99,Facebook Ads Manager,Social Media Marketing,Social Media Management,Instagram Marketing,Analytics,Content Creation,100000
modern visual packaging design illustration,Ukraine,4500,98,Covers & Packaging,Graphic Design,Drawing,2D Design,Cartoon,Illustration,9000
stack developer mobile web,India,1500,100,React Native,Swift,Objective-C,Xamarin,Android,iOS Development,3000000
angular node j ##s react react native,Ukraine,3500,92,JavaScript,Node.js,React,AngularJS,LoopBack,MongoDB,600000
react native mobile application developer,Ukraine,3000,98,React Native,React,API,Hybrid,Firebase,Mobile App Development,2000000
end developer,Ukraine,3500,97,JavaScript,jQuery,HTML,CSS,gulp,Grunt,3000000
social medium market er,United States,1800,95,Microsoft Word,Social Media Marketing,Facebook Marketing,Twitter Marketing,Microsoft PowerPoint,YouTube Marketing,700000
expert mobile developer,Pakistan,1500,100,iOS Development,API Development,Android,N/A,JavaScript,JavaScript,100000
cold caller lead generator en sp,Venezuela,500,100,Writing,Editorial Translation,Website Translation,Academic Translation,Translation English Spanish,JavaScript,1000
expert shop if ##y chrome extension gr av cm s civic rm mage nt ##o mood le,India,2500,95,Grav CMS,Craft CMS,Golang,PhpBB,Chrome Extension,MODX,800000
stack developer php lara ve ##l python dj ang ##o fl ask react angular vu e,India,3000,96,Python,Angular,React,Node.js,Laravel,React Native,400000
real estate facebook ad lead generation expert,Canada,4700,100,Social Media Management,Social Media Marketing,Facebook Advertising,Social Media Marketing Strategy,Digital Marketing,Social Media Lead Generation,100000
virtual cf o strategy finance internal audit,Pakistan,2500,100,Internal Auditing,Financial Analysis,Financial Planning,Accounting,Internal Controls,Bookkeeping,100000
sv el ##t e developer,India,3000,100,JavaScript,jQuery,HTML5,CSS3,Adobe Photoshop,Adobe After Effects,1000
android io react native swift java developer,India,3000,94,iPhone App Development,Android App Development,iOS,iOS Development,React Native,Mobile App Development,100000
accountant book keeper virtual assistant,Philippines,1000,73,Bookkeeping,Accounting,Virtual Assistant,Administrative Support,Accounts Payable Management,Quick Books Online,80
english brazilian portuguese translator,Brazil,1200,100,Adobe Creative Suite,Translation English Brazilian Portuguese,Translation French Portuguese,Translation Latin English,Translation Spanish Portuguese,Translation Greek English,10000
jewelry designer gem vision matrix rhino oct an ##e keys hot z brush,India,8500,96,Jewelry Design,Gemvision Matrix,KeyShot,V-Ray,Rhinoceros 3D,3D Rendering,100000
information security compliance consultant,Spain,8500,100,IPsec,Iptables,Red Hat Enterprise Linux (RHEL),VPN,Kerberos,SSL,50000
word press speed optimization prove pages pee ##d expert,United States,9900,98,HTML,CSS,WordPress e-Commerce,Wordpress Malware Removal,Wordpress Theme,WooCommerce,100000
amazon consultant expert list optimization pp c f ba f b ##m,Pakistan,1500,96,Amazon FBA,Amazon PPC,eBay Listing/Writing,Amazon Listing Optimization,Amazon Seller Central,Amazon Vendor Central Specialist,20000
ui u x designer,Ukraine,2800,100,User Experience Design,User Interface Design,Graphic Design,Web Design,Adobe Photoshop,Landing Page,100000
copy ed it ghost writing design,United States,5000,95,Creative Writing,Windows XP Administration,English,English Proofreading,English Grammar,English Punctuation,200000
android ios developer,Russia,5300,100,iOS Development,Android,Android App Development,Computer Vision,Python,Python Numpy,5000000
q a engineer web mobile automation q a engineer,Egypt,1500,88,Software Testing,Web Testing,Black Box Testing,Mobile App Testing,Performance Testing,System Testing,60
inside sale agent ad min real estate virtual assistant,Philippines,1000,100,Chat Support,Data Entry,Virtual Assistant,Appointment Setting,Cold Calling,Real Estate Management,100000
power app share point developer online reputation management office 365,India,3500,100,SEO,Reputation Management,Website Development,On-Page Optimization,Microsoft SharePoint Designer,Microsoft SharePoint Administration,200000
machine deep learning engineer,Egypt,3500,100,Deep Learning,Machine Learning,MATLAB,C++,Computer Vision,Natural Language Processing,100000
web designer end developer,Russia,2000,100,HTML,CSS,Angular,React,Vue.js,Adobe XD,10000
virtual assistant indonesia project manager pr,Indonesia,1500,99,Internet Marketing,Public Relations,Market Research,Advertising,Virtual Assistant,Internet Research,600000
senior react react native node graph q l mobile web developer,Brazil,4000,100,React,React Native,Node.js,GraphQL,Apollo,Jest,90000
agile coach trainer ce rt ##i f ##y sc rum master agile project manager,Armenia,5000,100,Scrum,Agile Software Development,Project Management,Process Improvement,Atlassian JIRA,Training,20000
virtual personal assistant,Philippines,1000,100,Customer Experience,Microsoft Office,Sales,Customer Service Training,Data Collection,Data Entry,2000
fashion designer,United States,3000,98,Adobe Illustrator,Adobe Photoshop,Fashion Design,Concept Design,Illustration,Fashion Illustration,50000
real estate marketing operation manager,Philippines,1000,83,Email Handling,Lead Generation,Telemarketing,Cold Calling,Social Media Marketing,SEO Writing,100000
tel em ##a r ##ke ter appointment set ter dat um entry specialist,Philippines,625,97,Microsoft Excel,Google Docs,Google Spreadsheets,Telemarketing,Sales,Appointment Setting,500000
expert php word pre node j ##s mean stack mer n stack,India,1500,99,PHP,WordPress,Angular 5,Node.js,Angular 2,Angular 4,10000
node j s php developer,Ukraine,2500,92,Node.js,PHP,JavaScript,HTML5,CSS3,JavaScript,100000
book layout design ebook design ep u ##b kind le k d ##p expert,India,625,100,KDP,Layout Design,Format & Layout,eBook Design,Electronic Publishing,Book,700000
three j s java script react angular node j s art ic ##ulate storyline,Pakistan,5000,94,iOS Development,Game Development,Articulate Storyline,e-Learning Consulting Learning Management System,Mac OS App Development,Microsoft Azure App Services,200000
python dj ang ##o dock er expert ukraine,Ukraine,5000,100,Project Management,Django,Tornado,Python,Git,CSS3,400000
expert ios android developer swift ob j c flutter react native,India,2200,98,iPhone App Development,Apple Xcode,iOS Development,Objective-C,Android App Development,Project Management,300000
expert php my s q l word press lara ve ##l angular n b shop if ##y wi x,Pakistan,1500,92,PHP,WordPress,HTML5,CSS3,JavaScript,jQuery,100000
architect bi m model er,Honduras,2500,100,Autodesk Revit,Autodesk 3ds Max,V-Ray,SketchUp,Autodesk AutoCAD,3D Modeling,10000
experience php developer,India,2000,100,PHP,WordPress,CakePHP,CodeIgniter,jQuery Mobile,Magento,400000
tel em ##a r ##ke ter appointment set ter,Philippines,625,94,Telemarketing,Telephone Handling,Data Encoding,Appointment Setting,Lead Generation,Outbound Sales,1000000
machine learning ai neural network,Russia,5000,100,Machine Learning,Artificial Intelligence,Deep Learning,Artificial Neural Networks,Computer Vision,Exploratory Data Analysis,1000000
stack ninja react react native angular ionic node j s,Ukraine,5000,98,Node.js,JavaScript,MongoDB,REST,Meteor,React,8000000
seo opt im ##i ze ##r ser m google organic optimization,Ukraine,4000,100,SEO Audit,Backlinking & Outreach,SEO-based Website,SEO Keyword Research,SEO,Screaming Frog SEO Spider,300000
expert q a manual automation testing,India,989,86,Java,VB.NET,C#,GitHub,Microsoft SQL SSRS,SAP Crystal Reports,200000
digital advertising expert,United States,6000,100,Google Ads,Facebook Marketing,Amazon Web Services,N/A,JavaScript,JavaScript,100000
machine learning stack mobile,United States,6000,100,Natural Language Processing,Chatbot Development,Python,Java,IBM Watson,Alexa Skill Kit,100000
mobile apps front end back end,India,1200,100,iPhone App Development,Android App Development,PHP,API Development,WordPress,Web Design,20000
interior design architecture visual i ##zation graphic design,Ukraine,1998,89,Interior Design,Architectural Design,3D Modeling,Autodesk 3D Studio Max,Corona Renderer,Adobe Photoshop,100000
business development executive,India,800,96,Agile Software Development,Business Development,Technical Writing,Oracle Java EE,IBM Rational Rose,Test Automation,1000000
financial accounting book keeping billing expert,Oman,1000,95,Customer Support,Logistics & Shipping,Billing,Invoicing,Operations Management,Data Entry,100000
ce rt ##i f ##y sales force developer,United States,9500,100,Salesforce CRM,APEX,Salesforce App Development,Visualforce,Salesforce,Salesforce Marketing Cloud,9000
web developer php cm s cr m web app li ##ca ti ##on 3rd party rest api,India,1500,89,REST,API Development,Zapier,eBay API,XML,Core PHP,30000
expert php developer word press joo ml a code ign it ##er cr m cm s,Pakistan,4000,100,Joomla,VirtueMart,Website Development,PHP,WordPress,Project Management,100000
stack net 5 angular as p net ze ##r o developer,India,2500,78,C#,ASP.NET MVC,React,ASP.NET Core,ASP.NET,ASP.NET Web API,10000
end react red u ##x developer,Ukraine,1300,98,React,Redux,HTML5,CSS,JavaScript,GitHub,2000000
io t machine vision em bed electronic development expert,Ukraine,4000,89,Embedded Systems,Analog Electronics,Digital Electronics,Embedded Linux,Machine Learning,Digital Signal Processing,300000
internet marketing back link e local seo white hat seo,India,1550,98,SEO,SMO,Google AdSense,Google Ads,Social Media Marketing,Social Media Optimization (SMO),2000000
logo design print design web design,India,1500,99,Advertising,Logo Design,Corporate Brand Identity,Website Development,Banner Ad Design,Print Design,700000
email chat eco mm ##er ce lead generation photo mode ratio ##n content,Philippines,1000,100,Data Analysis,Internet Research,Chat Support,Customer Support,Email Handling,Data Entry,800000
php developer php web development lara ve ##l code ign ito ##r php developer,India,2500,96,CodeIgniter,CakePHP,PHP,Symfony,Website Development,Database Programming,10000000
ce rt ##i f ##y quick book ce rt ##i f ##y x er ##o adviser wave sage book keeper,India,1000,100,Accounting,Intuit QuickBooks,MYOB Administration,Bookkeeping,Tax Preparation,Sage Peachtree Complete Accounting,20000
react native react j s next j s node j s io android php lara ve ##l,Nepal,1500,95,iPhone App Development,Android App Development,iOS Development,Ruby on Rails,PHP,WordPress,600000
mobile app developer ios android expert,Ukraine,3999,97,iOS Development,Android App Development,iOS,Android,PHP,Laravel,200000
php mage nt ##o word press shop if ##y squares pace expert,India,1200,100,WordPress,Magento,Squarespace,API Development,WooCommerce,Joomla,400000
rev it api developer rev it model le ##r bi m auto des k forge developer,Belarus,3200,100,Autodesk Revit Architecture,Civil Engineering,Autodesk Revit,C#,3D Modeling,Autodesk Navisworks,10000
professional voice audio production service,United States,5900,100,Voice Over,Audio Production,Adobe Audition,Adobe Creative Suite,Audio Editing,Mastering,10000
mobile engineer native flutter b le expert nfc watch development,India,3000,100,iOS Development,API Documentation,Facebook Development,Google Apps API,Android App Development,LinkedIn Development,400000
web development,Ukraine,2800,100,HTML5,CSS3,PHP,WordPress,jQuery,OpenCart,200000
expert digital artist designer illustration,Ukraine,2500,100,Logo Design,Interior Design,Watercolor Painting,Sketching,Wedding Painting,Oil & Acrylic Paint,2000
web developer,Ukraine,3000,63,Figma,UX/UI,Web Design,Mobile App Design,Graphic Design,Adobe Photoshop,100
3d artist model er character designer digital sculptor illustrator,Serbia,3500,100,3D Modeling,Pixologic Zbrush,Illustration,Character Design,Augmented Reality,3D Printing,60000
word press woo com mer ce plug in developer,Bulgaria,4500,86,WordPress,WordPress Plugin,WooCommerce,WordPress e-Commerce,Wordpress Multisite,BuddyPress,200000
english arabic translator proof re ##a der editor,Turkey,2000,100,Translation,Translation English Arabic,Translation Arabic English,Editing,Proofreading,English Grammar,50000
publishing marketing expert knowledge vision integrity,United States,10000,100,Public Relations,Event Planning,Project Management,Publishing Fundamentals,Book Editing,Marketing Strategy,1000
electronic firm ware software programmer hardware circuit pc b designer,India,2500,100,Microcontroller Programming,Embedded C,Embedded Systems,Electronics,PCB Design,JavaScript,200000
10 year demonstrate experience bp o r po industry,Philippines,500,100,Lead Generation,Data Entry,Outbound Sales,Inbound Marketing,Appointment Setting,IT Recruiting,100000
amazon pp c management service 1 p 3 p seller k d ##p publisher,Ukraine,5500,100,Amazon PPC,Pay Per Click Advertising,Pay Per Click,Amazon Vendor Central Specialist,Amazon Seller Central,Amazon FBA,50000
3d art director,Romania,3000,100,Game Development,3D Animation,2D Animation,VFX Animation,3D Modeling,3D Rendering,100000
google ad words display search network google shopping,India,750,98,Search Engine Marketing,Google Ads,Pay Per Click,Google Analytics,Bing Ads,Google Shopping,600000
expert react developer,Ukraine,2500,100,JavaScript,C#,Design,HTML5,CSS,React,100000
software developer 6 year experience,Armenia,1600,85,Laravel,Yii,CodeIgniter,PHP,React,JavaScript,1000000
d 3 j s angular developer,India,2500,75,JavaScript,D3.js,PHP,AngularJS,Node.js,MySQL,500000
